id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
90308678,58362,chaparral yucca,Hesperoyucca whipplei,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149237755/medium.jpeg,species,58363,47126|211194|47163|47218|47599|58363|58362,26,26,,
90113127,81979,Thick-legged Hover Fly,Syritta pipiens,bradrumble,https://inaturalist-open-data.s3.amazonaws.com/photos/148890210/medium.jpg,species,81980,1|47120|47158|47822|49995|81980|81979,26,26,,
89994914,124431,Spotless Lady Beetle,Cycloneda sanguinea,s__k__n__y,https://static.inaturalist.org/photos/148676014/medium.jpg,species,55490,1|47120|47158|47208|48486|55490|124431,26,26,,
90308654,57082,California scrub oak,Quercus berberidifolia,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149237414/medium.jpeg,species,47851,47126|211194|47124|47853|47852|47851|57082,26,26,,
90656113,53437,California Wild Rose,Rosa californica,andreacala,https://inaturalist-open-data.s3.amazonaws.com/photos/149848681/medium.jpeg,species,53438,47126|211194|47124|47132|47148|53438|53437,26,26,Plants,Park/Natural Area Species
92594310,47336,Ants,Formicidae,noelih,https://inaturalist-open-data.s3.amazonaws.com/photos/153336566/medium.jpg,family,47201,1|47120|47158|47201|47336,25,103,,
91625987,53809,Bold Jumping Spider,Phidippus audax,jandlp,https://inaturalist-open-data.s3.amazonaws.com/photos/151593434/medium.jpg,species,53810,1|47120|47119|47118|48139|53810|53809,25,25,,
92525021,47226,Western Tiger Swallowtail,Papilio rutulus,noelih,https://inaturalist-open-data.s3.amazonaws.com/photos/153212238/medium.jpg,species,47225,1|47120|47158|47157|47223|47225|47226,25,25,,
89819966,5206,Red-shouldered Hawk,Buteo lineatus,scubabruin,https://inaturalist-open-data.s3.amazonaws.com/photos/148360475/medium.jpeg,species,5179,1|2|3|71261|5067|5179|5206,25,25,,
90214927,55556,Large Milkweed Bug,Oncopeltus fasciatus,naturephotosuze,https://static.inaturalist.org/photos/149072472/medium.jpg,species,55559,1|47120|47158|47744|55558|55559|55556,25,25,,
89939163,59119,Checkered White,Pontia protodice,scubabruin,https://inaturalist-open-data.s3.amazonaws.com/photos/148573261/medium.jpeg,species,59122,1|47120|47158|47157|48508|59122|59119,25,25,,
90199144,509627,Western Giant Swallowtail,Papilio rumiko,yasyalf,https://static.inaturalist.org/photos/149044936/medium.jpg,species,47225,1|47120|47158|47157|47223|47225|509627,25,25,,
89870658,117308,green-spored parasol,Chlorophyllum molybdites,ciaraci,https://static.inaturalist.org/photos/148456905/medium.jpeg,species,56536,47170|47169|50814|47167|47394|56536|117308,25,25,,
97375774,366894,Noble False Widow,Steatoda nobilis,mariam888,https://inaturalist-open-data.s3.amazonaws.com/photos/161934884/medium.jpeg,species,61998,1|47120|47119|47118|47371|61998|366894,25,25,,
90593827,47188,Striped Shore Crab,Pachygrapsus crassipes,tom_aiba,https://static.inaturalist.org/photos/149742777/medium.jpeg,species,47189,1|47120|47187|47186|47190|47189|47188,24,24,,
89519255,51097,Anise Swallowtail,Papilio zelicaon,whataboutjosh,https://inaturalist-open-data.s3.amazonaws.com/photos/147839028/medium.jpg,species,47225,1|47120|47158|47157|47223|47225|51097,24,24,,
96527168,47208,Beetles,Coleoptera,crayonsss,https://inaturalist-open-data.s3.amazonaws.com/photos/160375683/medium.jpg,order,47158,1|47120|47158|47208,24,616,,
90038612,58876,fourleaf manyseed,Polycarpon tetraphyllum,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148752799/medium.jpeg,species,58875,47126|211194|47124|47366|48567|58875|58876,24,24,,
90294425,56240,Vivid Dancer,Argia vivida,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149210331/medium.jpeg,species,47977,1|47120|47158|47792|47925|47977|56240,24,24,,
90113376,154298,Ligated Furrow Bee,Halictus ligatus,bradrumble,https://inaturalist-open-data.s3.amazonaws.com/photos/148890822/medium.jpg,species,57677,1|47120|47158|47201|49707|57677|154298,23,23,,
89980077,52784,"Leafcutter, Mortar, and Resin Bees",Megachile,naturephotosuze,https://static.inaturalist.org/photos/148645368/medium.jpg,genus,52777,1|47120|47158|47201|52777|52784,23,37,,
90308649,78955,Southern Russian Thistle,Salsola australis,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149237312/medium.jpeg,species,57900,47126|211194|47124|47366|52327|57900|78955,23,23,,
90214929,308801,Arizona Small carpenter,Ceratina arizonensis,naturephotosuze,https://static.inaturalist.org/photos/149072487/medium.jpg,species,155108,1|47120|47158|47201|47221|155108|308801,23,23,,
90862764,1409,California Quail,Callipepla californica,joe559,https://static.inaturalist.org/photos/150214290/medium.jpeg,species,1405,1|2|3|573|1278|1405|1409,23,23,Birds,Park/Natural Area Species
90466443,16791,Western Kingbird,Tyrannus verticalis,andrewl,https://inaturalist-open-data.s3.amazonaws.com/photos/149517120/medium.jpeg,species,16768,1|2|3|7251|980017|16768|16791,23,23,,
92497670,4793,Killdeer,Charadrius vociferus,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153162071/medium.jpeg,species,4784,1|2|3|67561|4783|4784|4793,23,23,,
89936194,48225,California poppy,Eschscholzia californica,scubabruin,https://inaturalist-open-data.s3.amazonaws.com/photos/148570283/medium.jpg,species,48226,47126|211194|47124|48232|47332|48226|48225,22,22,,
92519086,53077,California cudweed,Pseudognaphalium californicum,jennbastian,https://static.inaturalist.org/photos/153201403/medium.jpg,species,53078,47126|211194|47124|47605|47604|53078|53077,22,22,,
90308672,57250,hollyleaf cherry,Prunus ilicifolia,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149237632/medium.jpeg,species,47351,47126|211194|47124|47132|47148|47351|57250,22,25,,
90306258,53359,coyote brush,Baccharis pilularis,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149233834/medium.jpeg,species,52111,47126|211194|47124|47605|47604|52111|53359,22,23,,
